id,collection,title,page,change_type,original,corrected,notes
13422,Mohn und Gedächtnis,Augen,20,source_text_replaced,"Augen:
schimmernd vom Regen, der strömte,
als Gott mir zu trinken befahl.
Augen:
Gold, das die Nacht in die Hände mir zählt',
als ich Nesseln pflückt'
und die Schatten der Sprüche reutet'.
Augen:
Abend, der über mir aufg lomm, als ich aufriß das Tor
und durchwintert vom Eis mein er Schläfen
durch die Weiler der Ewigkeit sprengt'.","Augen:  
schimmernd vom Regen, der strömte,  
als Gott mir zu trinken befahl.  
Augen:  
Gold, das die Nacht in die Hände mir zählt',  
als ich Nesseln pflückt' 
und die Schatten der Sprüche reutet'.  
Augen:  
Abend, der über mir aufg lomm, als ich aufriß das Tor  
und durchwintert vom Eis mein er Schläfen  
durch die Weiler der Ewigkeit sprengt'.",Replaced JSON text with the text extracted from the PDF page segment.
13433,Von Schwelle zu Schwelle,Ich hörte sagen,27,source_text_replaced,"Ich hörte sagen, es sei
im Wasser ein Stein und ein Kr eis
und über dem Wasser ein W ort,
das den Kreis um den Stei n legt.
Ich sah meine Pappel hinab gehn zum Wasser,
ich sah, wie ihr Arm hinunterg riff in die Tiefe,
ich sah ihre Wurzeln gen Himmel um Nacht flehn.
Ich eilt ihr nicht nach,
ich las nur vom Boden auf je ne Krume,
die deines Auges Gestalt hat und Adel,
ich nahm dir die Kette der Sprü che vom Hals
und säumte mit ihr den Tisch, wo die Krume nun lag.
Und sah meine Pappel nicht m ehr.","Ich hörte sagen, es sei  
im Wasser ein Stein und ein Kr eis  
und über dem Wasser ein W ort,  
das den Kreis um den Stei n legt.  
Ich sah meine Pappel hinab gehn zum Wasser, 
ich sah, wie ihr Arm hinunterg riff in die Tiefe,  
ich sah ihre Wurzeln gen Himmel um Nacht flehn.  
Ich eilt ihr nicht nach,  
ich las nur vom Boden auf je ne Krume,  
die deines Auges Gestalt hat und Adel,  
ich nahm dir die Kette der Sprü che vom Hals  
und säumte mit ihr den Tisch , wo die Krume nun lag.  
Und sah meine Pappel nicht m ehr.",Replaced JSON text with the text extracted from the PDF page segment.
13435,Von Schwelle zu Schwelle,Leuchten,27,source_text_replaced,"Schweigenden L eibes
liegst du im Sand neben mir,
Übersternte.
...............
Brach sich ein Strahl
herüber zu mir?
Oder war es der Stab,
den man brach über uns,
der so leuchtet?","Schweigenden L eibes 
liegst du im Sand neben mir, 
Übersternte.",Replaced JSON text with the text extracted from the PDF page segment.
13435,Von Schwelle zu Schwelle,Leuchten,27,cleaning_and_normalization,"Schweigenden Leibes
liegst du im Sand neben mir,
Übersternte.
...............
Brach sich ein Strahl
herüber zu mir?
Oder war es der Stab,
den man brach über uns,
der so leuchtet?","Schweigenden Leibes
liegst du im Sand neben mir,
Übersternte.","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
13442,Von Schwelle zu Schwelle,Zwiegestalt,30,source_text_replaced,"Laß dein Aug in der Kammer sein eine Kerze,
den Blick einen Docht,
laß mich blind genug sein,
ihn zu entzünden.
Nein.
Laß anderes sein.
Tritt vor dein Haus,
schirr deinen scheckigen T raum an,
laß seine Hufe reden
zum Schnee, den du fortbliest
vom First meiner Seele.","Laß dein Aug in der Kammer sein eine Kerze,  
den Blick einen Docht,  
laß mich blind genug sein,  
ihn zu entzünden.  
Nein.  
Laß anderes sein.  
Tritt vor dein Haus,  
schirr deinen scheckigen T raum an,  
laß seine Hufe reden  
zum Schnee, den du fortbliest  
vom First meiner Seele.",Replaced JSON text with the text extracted from the PDF page segment.
13447,Von Schwelle zu Schwelle,Bretonischer Strand,32,source_text_replaced,"Versammelt ist, was wir sahen,
zum Abschied von dir und von mir:
das Meer, das uns Nächte an Land warf,
der Sand, der sie mit uns durchflogen,
das rostrote Heidekraut droben,
darin die Welt uns geschah.","Versammelt ist, was wir sahen, 
zum Abschied von dir und von mir: 
das Meer, das uns Nächte an Land warf, 
der Sand, der sie mit uns durchflogen, 
das rostrote Heidekraut droben, 
darin die Welt uns geschah.",Replaced JSON text with the text extracted from the PDF page segment.
13451,Von Schwelle zu Schwelle,Grabschrift für François,34,source_text_replaced,"Die beiden Türe der Welt
stehen offen:
geöffnet von dir
in der Zwienacht.
Wir hören sie schlagen und schlagen
und tragen das ungewisse,
und tragen das Grün in dein Immer.
Okto ber 1953","Die beiden Türe der Welt  
stehen offen:  
geöffnet von dir  
in der Zwienacht.  
Wir hören sie schlagen und schlagen  
und tragen das ungewisse,  
und tragen das Grün in dein Immer. 
Okto ber 1953",Replaced JSON text with the text extracted from the PDF page segment.
13455,Von Schwelle zu Schwelle,Auch heute abend,35,source_text_replaced,"Voll er,
da Schnee auch auf dieses
sonnendurchschwommene Meer fiel,
blüht das Eis in den Körben,
die du zur Stadt trägst.
Sand
heischst du dafür,
denn die letzte
Rose daheim
will auch heut abend gespeist sein
aus rieselnder Stunde.","Voll er, 
da Schnee auch auf dieses  
sonnendurchschwommene Meer fiel,  
blüht das Eis in den Körben,  
die du zur Stadt trägst.  
Sand 
heischst du dafür,  
denn die letzte  
Rose daheim 
will auch heut abend gespeist sein  
aus rieselnder Stunde.",Replaced JSON text with the text extracted from the PDF page segment.
13462,Von Schwelle zu Schwelle,Die Halde,40,source_text_replaced,"Neben mir lebst d u, gleich mir:
als ein Stein
in der eingesunkenen Wange der Nacht.
O diese Halde, Geliebte,
wo wir pausenlos rollen,
wir Steine,
von Rinnsal zu Rinnsal.
Runder von Mal zu Mal.
Ähnlicher. Frem der.
O dieses trunkene Aug,
das hier umherirrt wie wir
und uns zuweilen
staunend in eins schaut.","Neben mir lebst d u, gleich mir:  
als ein Stein  
in der eingesunkenen Wange der Nacht.  
O diese Halde, Geliebte,  
wo wir pausenlos rollen,  
wir Steine,  
von Rinnsal zu Rinnsal.  
Runder von Mal zu Mal.  
Ähnlicher. Frem der.  
O dieses trunkene Aug,  
das hier umherirrt wie wir  
und uns zuweilen  
staunend in eins schaut.",Replaced JSON text with the text extracted from the PDF page segment.
13467,Von Schwelle zu Schwelle,Auge der Zeit,42,source_text_replaced,"Dies ist das Auge der Zeit:
es blickt scheel
unter siebenfarbener Braue.
Sein Lid wird von Feuern gewaschen,
seine Träne ist Dampf.
Der blinde Stern fliegt es an
und zerschmilzt an der heiße ren Wimper:
es wird warm in der Welt,
und die Toten
knospen und blühen.","Dies ist das Auge der Zeit:  
es blickt scheel  
unter siebenfarbener Braue.  
Sein Lid wird von Feuern gewaschen,",Replaced JSON text with the text extracted from the PDF page segment.
13467,Von Schwelle zu Schwelle,Auge der Zeit,42,cleaning_and_normalization,"Dies ist das Auge der Zeit:
es blickt scheel
unter siebenfarbener Braue.
Sein Lid wird von Feuern gewaschen,
seine Träne ist Dampf.
Der blinde Stern fliegt es an
und zerschmilzt an der heiße ren Wimper:
es wird warm in der Welt,
und die Toten
knospen und blühen.","Dies ist das Auge der Zeit:
es blickt scheel
unter siebenfarbener Braue.
Sein Lid wird von Feuern gewaschen,","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
13472,Von Schwelle zu Schwelle,Wir sehen dich,45,source_text_replaced,"Wir sehen dich, Himmel, wir sehn dich.
Pocke um Pock e
treibst du hervor,
Pustel um Pustel.
So mehrst du die Ewigkeit.
Wir sehen dich, Erde, wir sehn dich.
Seele um Seele
setzest du aus,
Schatten um Schatten.
So atmen die Bränd e der Zeit.","Wir sehen dich, Himmel, wir sehn dich.  
Pocke um Pock e  
treibst du hervor,  
Pustel um Pustel.  
So mehrst du die Ewigkeit.  
Wir sehen dich, Erde, wir sehn dich.  
Seele um Seele  
setzest du aus,  
Schatten um Schatten.  
So atmen die Bränd e der Zeit.",Replaced JSON text with the text extracted from the PDF page segment.
13481,Sprachgitter,Zuversicht,54,source_text_replaced,"Es wird noch ein Aug sein,
ein fremdes, neben
dem unsern: stum m
unter steinernem Lid.
Kommt, bohrt euren Stollen!
Es wird eine Wimper sein,
einwärts gekehrt im Geste in,
von Ungeweintem ve rstählt,
die feinste der Spindeln.
Vor euch tut sie das W erk,
als gäb es, weil Ste in ist, noch Brüder.","Es wird noch ein Aug sein,  
ein fremdes, neben  
dem unsern: stum m 
unter steinernem Lid.  
Kommt, bohrt euren Stollen !  
Es wird eine Wimper sein,  
einwärts gekehrt im Geste in,  
von Ungeweintem ve rstählt,  
die feinste der Spindeln.  
Vor euch tut sie das W erk,  
als gäb es, weil Ste in ist, noch Brüder.",Replaced JSON text with the text extracted from the PDF page segment.
13483,Sprachgitter,Unter ein Bild,55,source_text_replaced,"Rabenüberschwärmte Weizenwoge.
Welchen Himmels Blau? Des untern? Obern?
Später Pfeil, der von der Seele schnellte.
Stärkres Schwirren. Näh're s Glühen. Beide Welten.","Rabenüberschwärmte Weizenwoge.  
Welchen Himmels Blau? Des untern? Obern? 
Später Pfeil, der von der Seele schnellte.  
Stärkres Schwirren. Näh're s Glühen. Beide Welten.",Replaced JSON text with the text extracted from the PDF page segment.
13423,Mohn und Gedächtnis,Die Ewigkeit,195,source_text_replaced,"DIE EWIGKEIT altert: in
Cerveteri die
Asphodelen
fragen einander weiß.
Mit mummelnder Ke lle,
aus den Totenk esseln,
ü
bern Stein, übern Stein,
löffeln sie Suppen
in alle Betten
und Lager.","DIE EWIGKEIT altert: in 
Cerveteri die 
Asphodelen 
fragen einander weiß. 
Mit mummelnder Ke lle, 
aus den Totenk esseln, 
übern Stein, übern Stein, 
löffeln sie Suppen 
in alle Betten 
und Lager.",Replaced JSON text with the text extracted from the PDF page segment.
13423,Mohn und Gedächtnis,Die Ewigkeit,195,cleaning_and_normalization,"DIE EWIGKEIT altert: in
Cerveteri die
Asphodelen
fragen einander weiß.
Mit mummelnder Ke lle,
aus den Totenk esseln,
ü
bern Stein, übern Stein,
löffeln sie Suppen
in alle Betten
und Lager.","DIE EWIGKEIT altert: in
Cerveteri die
Asphodelen
fragen einander weiß.
Mit mummelnder Ke lle,
aus den Totenk esseln,
übern Stein, übern Stein,
löffeln sie Suppen
in alle Betten
und Lager.","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
13377,Mohn und Gedächtnis,Todesfuge,13,source_text_replaced,,"Schwarze Milch der Frühe wir trinken sie abends 
wir trinken sie mittags und morgens wir trinken sie nachts 
wir trinken und trinken 
wir schaufeln ein Grab in den Lüften da liegt man nicht eng 
Ein Mann wohnt im Haus der spielt mit den Schlangen der 
schreibt der schreibt wenn es du nkelt nach Deutschland dein goldenes Haar Margarete 
er schreibt es und tritt vor das Haus und es blitzen die Sterne er pfeift seine Rüden herbei 
er pfeift seine Juden hervor läßt schaufeln ein Grab in der Erde 
er befiehlt uns spielt nun zum Tanz 
Schwarze Milch der Frühe wir trinken dich nachts 
wir trinken dich morgens und mittags wir trinken dich abends 
wir trinken und trinken 
Ein Mann wohnt im Haus und spielt mit den Schlangen der schreibt 
der schreibt wenn es dunkelt nach Deutschland dein goldenes Haar Margarete",Replaced JSON text with the text extracted from the PDF page segment.
13377,Mohn und Gedächtnis,Todesfuge,13,cleaning_and_normalization,,"Schwarze Milch der Frühe wir trinken sie abends
wir trinken sie mittags und morgens wir trinken sie nachts
wir trinken und trinken
wir schaufeln ein Grab in den Lüften da liegt man nicht eng
Ein Mann wohnt im Haus der spielt mit den Schlangen der
schreibt der schreibt wenn es du nkelt nach Deutschland dein goldenes Haar Margarete
er schreibt es und tritt vor das Haus und es blitzen die Sterne er pfeift seine Rüden herbei
er pfeift seine Juden hervor läßt schaufeln ein Grab in der Erde
er befiehlt uns spielt nun zum Tanz
Schwarze Milch der Frühe wir trinken dich nachts
wir trinken dich morgens und mittags wir trinken dich abends
wir trinken und trinken
Ein Mann wohnt im Haus und spielt mit den Schlangen der schreibt
der schreibt wenn es dunkelt nach Deutschland dein goldenes Haar Margarete","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
13421,Mohn und Gedächtnis,Der Reisekamerad,20,source_text_replaced,,"Deiner Mutter Seele schwebt voraus.  
Deiner Mutter Seele hilft die Nacht umschiffen, Riff um Riff.  
Deiner Mutter Seele peitscht die Haie vor dir her.  
Dieses Wort is t deiner Mutter Mündel.  
Deiner Mutter Mündel teilt dein Lager, Stein um Stein.  
Deiner Mutter Mündel bückt sich nach der Krume Lichts.",Replaced JSON text with the text extracted from the PDF page segment.
13421,Mohn und Gedächtnis,Der Reisekamerad,20,cleaning_and_normalization,,"Deiner Mutter Seele schwebt voraus.
Deiner Mutter Seele hilft die Nacht umschiffen, Riff um Riff.
Deiner Mutter Seele peitscht die Haie vor dir her.
Dieses Wort is tdeiner Mutter Mündel.
Deiner Mutter Mündel teilt dein Lager, Stein um Stein.
Deiner Mutter Mündel bückt sich nach der Krume Lichts.","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
13469,Von Schwelle zu Schwelle,Welchen der Steine du hebst,43,source_text_replaced,,"Welchen der Steine du hebst - 
du entblößt,  
die des Schutzes der Steine bedürfen:  
nackt,  
erneuern sie nun die V erflechtung.  
Welche n der Bäume du fällst -  
du zimmerst  
die Bettstatt, darauf 
die Seelen sich abermals stauen,  
als schütterte nicht  
auch dieser  
Äon.",Replaced JSON text with the text extracted from the PDF page segment.
13469,Von Schwelle zu Schwelle,Welchen der Steine du hebst,43,cleaning_and_normalization,,"Welchen der Steine du hebst du entblößt,
die des Schutzes der Steine bedürfen:
nackt,
erneuern sie nun die Verflechtung.
Welche nder Bäume du fällst du zimmerst
die Bettstatt, darauf
die Seelen sich abermals stauen,
als schütterte nicht
auch dieser
Äon.","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
13486,Sprachgitter,Heute und morgen,56,source_text_replaced,,"So steh ich, steinern, zur  
Ferne, in die ich dich führte:  
Von Flugsand  
ausgewaschen die beiden  
Höhlen am untern Stirnsaum. 
Eräugtes  
Dunkel darin.  
Durchpocht  
von schweigsam geschwungenen Hämmern  
die Stelle,  
wo mich das Flügelaug streifte.  
Dahinter,  
ausgespart in der Wand,  
die Stufe,  
drauf das Erinnerte hockt.  
Hierher  
sickert, von Nächten beschenkt,  
eine Stimme, 
aus der du den Trunk schöpfst.",Replaced JSON text with the text extracted from the PDF page segment.
13486,Sprachgitter,Heute und morgen,56,cleaning_and_normalization,,"So steh ich, steinern, zur
Ferne, in die ich dich führte:
Von Flugsand
ausgewaschen die beiden
Höhlen am untern Stirnsaum.
Eräugtes
Dunkel darin.
Durchpocht
von schweigsam geschwungenen Hämmern
die Stelle,
wo mich das Flügelaug streifte.
Dahinter,
ausgespart in der Wand,
die Stufe,
drauf das Erinnerte hockt.
Hierher
sickert, von Nächten beschenkt,
eine Stimme,
aus der du den Trunk schöpfst.","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
13479,Sprachgitter,Engführung,72,source_text_replaced,,"Verbracht ins Gelände 
* 
VERBRACHT ins  
Gelände  
mit der untrüglichen Spur:  
Gras, auseinandergeschrieben. Die Steine, weiß,  
mit den Schatten der Halme:  
Lies nicht mehr - schau!  
Schau nicht mehr - geh!  
Geh, deine Stunde  
hat keine Schwestern, du bist - 
bist zuhause. Ein Rad, langsam,  
rollt aus sich selber, die Sp eichen  
klettern,  
klettern auf schwärzlichem Feld, d ie Nacht  
braucht keine Sterne, nirgends  
fragt es nach dir.  
* 
Nirg ends  
fragt es nach dir  
Der Ort, wo sie lagen , er hat 
einen Namen - er hat 
keinen. Sie lagen nicht dort. Etwas 
lag zwischen ihnen. Sie 
sahn nicht hindurch. 
Sahn nicht, nein, 
redeten von 
Worten. Keines 
erwachte, der 
Schlaf 
kam über sie. 
*",Replaced JSON text with the text extracted from the PDF page segment.
13479,Sprachgitter,Engführung,72,cleaning_and_normalization,,"Verbracht ins Gelände
*
VERBRACHT ins
Gelände
mit der untrüglichen Spur:
Gras, auseinandergeschrieben. Die Steine, weiß,
mit den Schatten der Halme:
Lies nicht mehr - schau!
Schau nicht mehr - geh!
Geh, deine Stunde
hat keine Schwestern, du bist bist zuhause. Ein Rad, langsam,
rollt aus sich selber, die Sp eichen
klettern,
klettern auf schwärzlichem Feld, die Nacht
braucht keine Sterne, nirgends
fragt es nach dir.
*
Nirg ends
fragt es nach dir
Der Ort, wo sie lagen, er hat
einen Namen - er hat
keinen. Sie lagen nicht dort. Etwas
lag zwischen ihnen. Sie
sahn nicht hindurch.
Sahn nicht, nein,
redeten von
Worten. Keines
erwachte, der
Schlaf
kam über sie.
*","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
13429,Mohn und Gedächtnis,Landschaft,346,source_text_replaced,,"Es steht gekrümmt ein Birkenstamm: 
gekrümmte weiße Kreide.  
Drei Wolken links. Ein Berge skamm. 
Und Heide, Hei de, Heide.  
Dann Wald auf einmal. Föhrenwald.  
Weiß Birken. Wieder Föhren.  
Hoch oben Raben. Ob sie bald  
die Sterne kommen hören? 
Ein Teich, verdunkelt... Häuser? Licht? 
Kam nicht ei n Dorf vorüber? 
Wer hier wohl tröstend Tr äume spricht? 
Und Föhren wieder. Trüber..  
Zwei Mühlen noch, ein Spiel dem Wind;  
mit langen Armen beide.  
- Ob hier die Winde Schlummer sind? -  
Und Nacht. Und endlos: Heide ...",Replaced JSON text with the text extracted from the PDF page segment.
13429,Mohn und Gedächtnis,Landschaft,346,cleaning_and_normalization,,"Es steht gekrümmt ein Birkenstamm:
gekrümmte weiße Kreide.
Drei Wolken links. Ein Berge skamm.
Und Heide, Hei de, Heide.
Dann Wald auf einmal. Föhrenwald.
Weiß Birken. Wieder Föhren.
Hoch oben Raben. Ob sie bald
die Sterne kommen hören?
Ein Teich, verdunkelt... Häuser? Licht?
Kam nicht ei n Dorf vorüber?
Wer hier wohl tröstend Tr äume spricht?
Und Föhren wieder. Trüber..
Zwei Mühlen noch, ein Spiel dem Wind;
mit langen Armen beide.
- Ob hier die Winde Schlummer sind? Und Nacht. Und endlos: Heide...","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
13484,Sprachgitter,Heimkehr,346,source_text_replaced,,"Keine 
verheimlichte Stimme sei 
entdeckt. 
Keine. 
Wie sonst bli ebe 
das Leben vergrößert vor mir 
und verklärt? 
Freunden 
- daheim werden keine sein - 
ist schon ein Blick 
genug 
und der Mutter 
der Wink viell eicht meiner Astern - 
Die weiter forschen, 
horchen nur ob nicht der Tod,",Replaced JSON text with the text extracted from the PDF page segment.
13484,Sprachgitter,Heimkehr,346,cleaning_and_normalization,,"Keine
verheimlichte Stimme sei
entdeckt.
Keine.
Wie sonst bli ebe
das Leben vergrößert vor mir
und verklärt?
Freunden
- daheim werden keine sein ist schon ein Blick
genug
und der Mutter
der Wink viell eicht meiner Astern Die weiter forschen,
horchen nur ob nicht der Tod,","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
